Name,SI,Handles,VM,WS,PM,NPM,Path,Company,CPU,FileVersion,ProductVersion,Description,Product,__NounName,BasePriority,ExitCode,HasExited,ExitTime,Handle,SafeHandle,HandleCount,Id,MachineName,MainWindowHandle,MainWindowTitle,MainModule,MaxWorkingSet,MinWorkingSet,Modules,NonpagedSystemMemorySize,NonpagedSystemMemorySize64,PagedMemorySize,PagedMemorySize64,PagedSystemMemorySize,PagedSystemMemorySize64,PeakPagedMemorySize,PeakPagedMemorySize64,PeakWorkingSet,PeakWorkingSet64,PeakVirtualMemorySize,PeakVirtualMemorySize64,PriorityBoostEnabled,PriorityClass,PrivateMemorySize,PrivateMemorySize64,PrivilegedProcessorTime,ProcessName,ProcessorAffinity,Responding,SessionId,StartInfo,StartTime,SynchronizingObject,Threads,TotalProcessorTime,UserProcessorTime,VirtualMemorySize,VirtualMemorySize64,EnableRaisingEvents,StandardInput,StandardOutput,StandardError,WorkingSet,WorkingSet64,Site,Container
ApplicationFrameHost,1,773,2.20365E+12,45506560,62492672,40384,C:\WINDOWS\system32\ApplicationFrameHost.exe,Microsoft Corporation,3.171875,10.0.18362.1 (WinBuild.160101.0800),10.0.18362.1,Application Frame Host,Microsoft? Windows? Operating System,Process,8,,FALSE,,3284,Microsoft.Win32.SafeHandles.SafeProcessHandle,773,11964,.,263160,LabVIEW-ReadCSVFile.pdf ?- Microsoft Edge,System.Diagnostics.ProcessModule (ApplicationFrameHost.exe),1413120,204800,System.Diagnostics.ProcessModuleCollection,40384,40384,62492672,62492672,552456,552456,65818624,65818624,66138112,66138112,340168704,2.20366E+12,TRUE,Normal,62492672,62492672,00:01.9,ApplicationFrameHost,255,TRUE,1,System.Diagnostics.ProcessStartInfo,6/10/2019 14:24,,System.Diagnostics.ProcessThreadCollection,00:03.2,00:01.3,335007744,2.20365E+12,FALSE,,,,45506560,45506560,,
audiodg,0,184,2.20341E+12,14966784,10678272,10872,,,1.59375,,,,,Process,8,,,,,,184,2120,.,0,,,,,,10872,10872,10678272,10678272,103648,103648,13832192,13832192,19443712,19443712,101007360,2.20342E+12,,,10678272,10678272,00:00.8,audiodg,,TRUE,0,System.Diagnostics.ProcessStartInfo,6/10/2019 16:27,,System.Diagnostics.ProcessThreadCollection,00:01.6,00:00.8,96505856,2.20341E+12,FALSE,,,,14966784,14966784,,
backgroundTaskHost,1,651,2.20402E+12,51658752,25448448,45392,C:\WINDOWS\system32\backgroundTaskHost.exe,Microsoft Corporation,1.59375,10.0.18362.1 (WinBuild.160101.0800),10.0.18362.1,Background Task Host,Microsoft? Windows? Operating System,Process,8,,FALSE,,3344,Microsoft.Win32.SafeHandles.SafeProcessHandle,651,13268,.,0,,System.Diagnostics.ProcessModule (backgroundTaskHost.exe),1413120,204800,System.Diagnostics.ProcessModuleCollection,45392,45392,25448448,25448448,469128,469128,25681920,25681920,70135808,70135808,699060224,2.20402E+12,TRUE,Normal,25448448,25448448,00:01.1,backgroundTaskHost,255,TRUE,1,System.Diagnostics.ProcessStartInfo,6/10/2019 16:41,,System.Diagnostics.ProcessThreadCollection,00:01.6,00:00.5,699027456,2.20402E+12,FALSE,,,,51658752,51658752,,
browser_broker,1,487,2.23787E+12,27934720,6201344,22952,C:\WINDOWS\system32\browser_broker.exe,Microsoft Corporation,0.359375,11.00.18362.1 (WinBuild.160101.0800),11.00.18362.1,Browser_Broker,Microsoft? Windows? Operating System,Process,8,,FALSE,,3376,Microsoft.Win32.SafeHandles.SafeProcessHandle,487,4728,.,0,,System.Diagnostics.ProcessModule (browser_broker.exe),1413120,204800,System.Diagnostics.ProcessModuleCollection,22952,22952,6201344,6201344,312264,312264,6369280,6369280,28045312,28045312,196182016,2.23787E+12,TRUE,Normal,6201344,6201344,00:00.3,browser_broker,255,TRUE,1,System.Diagnostics.ProcessStartInfo,6/10/2019 14:26,,System.Diagnostics.ProcessThreadCollection,00:00.4,00:00.1,194064384,2.23787E+12,FALSE,,,,27934720,27934720,,
Calculator,1,536,4736315392,122880,21708800,27648,C:\Program Files\WindowsApps\Microsoft.WindowsCalculator_10.1904.31.0_x64__8wekyb3d8bbwe\Calculator.exe,Microsoft Corporation,0.96875,10.1904.31.0,10.1904.31.0,Calculator.exe,Microsoft Calculator,Process,8,,FALSE,,3408,Microsoft.Win32.SafeHandles.SafeProcessHandle,536,12476,.,66824,Calculator,System.Diagnostics.ProcessModule (Calculator.exe),1413120,204800,System.Diagnostics.ProcessModuleCollection,27648,27648,21708800,21708800,795784,795784,29286400,29286400,71176192,71176192,479096832,4774064128,TRUE,Normal,21708800,21708800,00:00.3,Calculator,255,FALSE,1,System.Diagnostics.ProcessStartInfo,6/10/2019 14:28,,System.Diagnostics.ProcessThreadCollection,00:01.0,00:00.6,441348096,4736315392,FALSE,,,,122880,122880,,
chrome,1,143,2.20344E+12,7663616,2084864,11216,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,Google Inc.,0.046875,74.0.3729.169,74.0.3729.169,Google Chrome,Google Chrome,Process,8,,FALSE,,3436,Microsoft.Win32.SafeHandles.SafeProcessHandle,143,740,.,0,,System.Diagnostics.ProcessModule (chrome.exe),1413120,204800,System.Diagnostics.ProcessModuleCollection,11216,11216,2084864,2084864,153960,153960,2752512,2752512,9367552,9367552,121679872,2.20344E+12,TRUE,Normal,2084864,2084864,00:00.0,chrome,255,TRUE,1,System.Diagnostics.ProcessStartInfo,6/10/2019 16:14,,System.Diagnostics.ProcessThreadCollection,00:00.0,00:00.0,121679872,2.20344E+12,FALSE,,,,7663616,7663616,,
chrome,1,280,2.20373E+12,16101376,14409728,19848,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,Google Inc.,0.109375,74.0.3729.169,74.0.3729.169,Google Chrome,Google Chrome,Process,4,,FALSE,,3468,Microsoft.Win32.SafeHandles.SafeProcessHandle,280,2800,.,0,,System.Diagnostics.ProcessModule (chrome.exe),1413120,204800,System.Diagnostics.ProcessModuleCollection,19848,19848,14409728,14409728,403976,403976,14950400,14950400,23822336,23822336,415784960,2.20373E+12,TRUE,Idle,14409728,14409728,00:00.0,chrome,255,TRUE,1,System.Diagnostics.ProcessStartInfo,6/10/2019 16:14,,System.Diagnostics.ProcessThreadCollection,00:00.1,00:00.1,413687808,2.20373E+12,FALSE,,,,16101376,16101376,,
chrome,1,295,2.20376E+12,27721728,22745088,23248,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,Google Inc.,1.5625,74.0.3729.169,74.0.3729.169,Google Chrome,Google Chrome,Process,4,,FALSE,,3500,Microsoft.Win32.SafeHandles.SafeProcessHandle,295,6108,.,0,,System.Diagnostics.ProcessModule (chrome.exe),1413120,204800,System.Diagnostics.ProcessModuleCollection,23248,23248,22745088,22745088,409472,409472,25579520,25579520,39550976,39550976,454905856,2.20377E+12,TRUE,Idle,22745088,22745088,00:00.5,chrome,255,TRUE,1,System.Diagnostics.ProcessStartInfo,6/10/2019 16:14,,System.Diagnostics.ProcessThreadCollection,00:01.6,00:01.1,440094720,2.20376E+12,FALSE,,,,27721728,27721728,,
chrome,1,295,2.20376E+12,30330880,24670208,23384,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,Google Inc.,0.234375,74.0.3729.169,74.0.3729.169,Google Chrome,Google Chrome,Process,8,,FALSE,,3532,Microsoft.Win32.SafeHandles.SafeProcessHandle,295,9388,.,0,,System.Diagnostics.ProcessModule (chrome.exe),1413120,204800,System.Diagnostics.ProcessModuleCollection,23384,23384,24670208,24670208,414488,414488,25804800,25804800,41017344,41017344,450002944,2.20377E+12,TRUE,Normal,24670208,24670208,00:00.1,chrome,255,TRUE,1,System.Diagnostics.ProcessStartInfo,6/10/2019 16:14,,System.Diagnostics.ProcessThreadCollection,00:00.2,00:00.1,445808640,2.20376E+12,FALSE,,,,30330880,30330880,,
chrome,1,195,2.20344E+12,7163904,2121728,10944,C:\Program Files (x86)\Google\Chrome\Application\chrome.exe,Google Inc.,0.015625,74.0.3729.169,74.0.3729.169,Google Chrome,Google Chrome,Process,8,,FALSE,,3156,Microsoft.Win32.SafeHandles.SafeProcessHandle,195,9664,.,0,,System.Diagnostics.ProcessModule (chrome.exe),1413120,204800,System.Diagnostics.ProcessModuleCollection,10944,10944,2121728,2121728,147472,147472,2129920,2129920,8597504,8597504,124297216,2.20344E+12,TRUE,Normal,2121728,2121728,00:00.0,chrome,255,TRUE,1,System.Diagnostics.ProcessStartInfo,6/10/2019 16:14,,System.Diagnostics.ProcessThreadCollection,00:00.0,0:00:00,124239872,2.20344E+12,FALSE,,,,7163904,7163904,,
